"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Dimension 1","Dimension 2","Dimension 3","Dimension 4","Dimension 5"
"rsfmri_c_ngd_cgc_ngd_cgc",0.089253401268262,-0.245596758580099,-0.118987472590232,-0.014768230139012,-0.00468606132490849,-0.148921250213922,-0.0260316965973841,0.122903298045379,-0.097403220336784,-0.0839452358917969,-0.0424045962959726,0.0384122342191649,0.0800198355690325,0.0789141993836901,0.132408763771532,0.31019903438526,0.272970970907645,-0.139431780291468,-0.00703243439348496,0.00844662079976769,1.16139971846353,-2.91665548494389,-1.27609840147892,-0.145047446982186,-0.0433744127265729
"rsfmri_c_ngd_cgc_ngd_ca",-0.213066239994057,-0.0486290978030274,-0.168912935139256,0.0316028180697354,0.131996719408252,-0.00222787645217224,0.0965963357752728,-0.180005758590248,-0.217243827440237,0.125925655746917,0.00785868804328646,-0.0706955899910187,0.0325410942260066,-0.13299751835975,0.0125795124627807,0.0657750729302005,0.130864462613615,-0.109898392810294,-0.132283193186616,-0.0151046365850847,-2.92399772835394,-0.616311174828665,-1.87843183819651,0.305963445374694,1.16413732959728
"rsfmri_c_ngd_cgc_ngd_dt",-0.132993449364053,-0.0676860795467928,0.102053202356604,-0.056442233813229,-0.1145074803913,0.0523441029504711,0.164005592623613,-0.134763095890457,-0.0757787788765383,-0.0202311557799798,0.0242982346782823,0.0968761089915748,0.0437558762594116,-0.131406201701201,0.217870099933006,0.289829735391365,0.110837405004978,0.223530478548785,-0.011975553827603,-0.0843263990797633,-1.64800707763301,-0.717507547060538,1.16119546140595,-0.513768737474234,-1.19454332328606
"rsfmri_c_ngd_cgc_ngd_dla",0.195043858831524,0.0853356067701856,0.17045736809868,-0.170381965678572,0.0129702632853716,0.0549962998075752,0.102616736559678,0.0214904455534652,-0.0644484832901402,-0.0688231925649406,-0.2026944144117,-0.157046031620468,-0.0240690554365194,-0.0560890481920367,0.0577534417258932,-0.188762327717025,0.0534835470185467,0.00213059554749037,0.171863752168047,-0.0558551423913513,2.62568246125909,1.2292018550965,1.98945205091949,-2.07158433743356,0.128140526795156
"rsfmri_c_ngd_cgc_ngd_fo",0.121897124227528,-0.0654480787305913,0.0879296696643237,-0.26260881481471,-0.00309970527570958,0.0189595809466412,-0.109408064682527,-0.0360151630505435,-0.211981499603022,-0.101369154244593,-0.00552136941551096,0.0312805736166904,-0.00743325179006787,0.0195878695212079,0.0577791407331287,-0.216537581290456,0.0766487112909004,-0.206174561959276,-0.00743978373483592,0.0241183035418261,1.51395878006344,-0.708433232553996,1.03642836848123,-2.66323817762053,-0.0167007054059195
"rsfmri_c_ngd_cgc_ngd_rspltp",-0.151771768620669,0.0933553993467426,-0.044194827920653,0.127296117321287,0.0461759263430639,-0.109245413027542,0.288666577382797,-0.0514099953720897,-0.0799749571486291,0.0211593056234651,-0.00554480932781348,0.153730109761789,-0.0506027290116619,-0.10228191502319,-0.0841817781005901,0.0202087121769213,-0.180306211043479,0.00567133230223144,0.0355574041889141,-0.0231390565112027,-2.0116053208715,1.1537229396936,-0.46630078114178,1.304857357715,0.486115067421778
"rsfmri_c_ngd_cgc_ngd_sa",-0.189351143609924,-0.0262140974103,0.149375754855881,-0.0911204589857469,0.078717279942809,-0.0507598756040686,5.94253879457095e-05,0.160530514044838,0.0851452107504578,-0.0183659149951461,-0.0428201831899041,0.0584088205032705,0.12978562276602,0.0541780290740653,0.135811756607787,0.23356510926961,0.064645627052823,0.0518918798642997,-0.0999917440870114,0.119328056970411,-2.77551870499409,-0.333172955306018,1.66119682964489,-0.916065243397069,0.722053816821698
"rsfmri_c_ngd_cgc_ngd_smh",-0.110580486547132,0.117407157033761,0.070603032428695,-0.0563844079444228,0.109808497864614,-0.0483628134777549,-0.127914401206995,0.233683637572589,0.00278870577028613,-0.155824707416116,0.13764738688895,-0.0391262707437895,-0.197745755525274,-0.210661301502137,-0.0164119950944959,-0.0255195076558259,0.214709355181144,0.104400004927011,0.0401962229805504,0.0404193943758733,-1.52227011186318,1.25424746419603,0.725476345132914,-0.586586176902233,0.982285883965562
"rsfmri_c_ngd_cgc_ngd_smm",-0.230162756129982,0.0600244244741584,-0.0716012346736329,-0.0299556287222321,-0.0700023623040927,-0.104279415225895,-0.052809885220808,-0.0936024068779016,-0.151312673651955,-0.0228464572020717,-0.168396272484721,0.0777710513463469,-0.0734111294108924,-0.0664086013568754,-0.14884624163921,-0.0505118905225986,0.0257871893449899,-0.12297930150164,0.068314299697552,-0.228034673911789,-2.9878942821028,0.790709937897714,-0.724699357978091,-0.358775483896997,-0.645152563973254
"rsfmri_c_ngd_cgc_ngd_vta",-0.0563107300194561,-0.0275073156654307,-0.24260230545578,-0.130658755243727,0.173096933190538,0.202124809239586,-0.0868820616284954,-0.126014631824065,0.217848584081457,-0.210649287424245,-0.0586895267783688,0.0182729014513467,0.204773179633762,0.187536100058822,-0.229111578028612,-0.0773818945318895,0.0156170886729724,-0.0773510149080266,0.14345231875139,0.00538463385942687,-0.695172055408331,-0.32072853534749,-2.64766902788174,-1.23771976774237,1.73279093653394
