"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Dimension 1","Dimension 2","Dimension 3","Dimension 4","Dimension 5"
"macv_p_ss_fs",0.287438725987536,0.473464270229466,-0.19196598956525,-0.192204951629839,0.237926495184944,0.209540735375115,-0.166715270983146,0.0186588210405361,-0.128709823575464,0.205798213210584,-0.378553603737366,-0.130020411521617,-0.0187285934976031,0.202192101483476,0.152474401782398,0.0328466107861731,0.214926523723242,0.182605420837984,-0.195753975845345,-0.297007792607089,3.34411213159183,4.72337071049037,-1.74360814546892,-1.65573514597403,1.94709718433691
"macv_p_ss_fo",-0.0983541500367399,-0.146652698517684,-0.081709187122293,-0.170697970836516,-0.383733230236187,-0.0204921538440804,-0.323143610679564,-0.20015531591697,-0.185296745114945,0.213253510383006,-0.324184338465916,0.13193948295295,-0.00174023636316702,-0.23780999977713,-0.141466929182721,0.0417474078840289,0.514664530743963,-0.147869059386979,0.195843087421789,0.187411374912163,-1.01289529226945,-1.62681883530212,-0.738241486665941,-1.81641011706554,-3.67460684363563
"macv_p_ss_fr",0.184848710320801,-0.149754305313691,0.0463261585157681,0.294435668937699,-0.0719702519160317,-0.616543698483573,-0.148430223116829,-0.1434119132149,-0.0727960956450943,0.064738985673285,-0.00602623998389745,0.110744249415773,0.110471650281566,0.280807232759637,-0.193891258230295,0.308591895717787,0.0738799647837133,0.122220282718819,-0.358300730981285,-0.17948768941881,2.17296145428339,-1.46409168869436,0.433807115798112,2.80899124862198,-0.675291595404469
"macv_y_ss_fs",0.246178623770773,0.31212509519129,-0.149952172977861,-0.168774730717018,-0.100041630274472,-0.365398469524043,0.47774025762754,0.179485156905044,-0.0143229031390671,-0.341284207120425,-0.0912219388929699,0.0695680311686851,-0.0948672186979456,-0.142839013374577,-0.320789944083515,-0.255886022585783,0.229733095051207,-0.0659229748382112,-0.00502403563658567,0.047457356881862,2.71780979228086,3.38486124614133,-1.32403996562703,-1.67967594541514,-0.984993725583198
"macv_y_ss_fo",-0.10053683151523,0.047424331387025,0.250661734504451,-0.187014607358949,0.303347485335469,-0.0853963745680913,0.0222914182599364,0.170880621840933,-0.400877167202512,0.210088161216882,-0.0730784962622961,0.446753796688306,0.332795055614704,0.2306593311622,-0.047006147279286,-0.240979416017731,-0.121513116458164,-0.027041588890106,-0.0255205611143218,0.33267747262708,-1.10686106778979,0.440298345062776,2.21059548774819,-1.74994107717652,2.66541217630097
"macv_y_ss_fr",-0.270717839622127,-0.0108685420142088,0.518433023339221,-0.334811578693343,0.152521043523363,-0.0576369692280074,0.123071083070599,0.0603213611930248,0.39390498028682,0.264960291944911,0.0606222862266542,-0.151613940599348,-0.102440373575805,0.0704871399296435,-0.298813891075426,0.0578605989780556,0.289587219615084,0.180738070706353,0.00380057860014014,-0.153895542363808,-3.20098305423741,-0.0901687845740053,4.34662330378356,-3.27052181145686,1.41365896851785
"reshist_addr1_coi_r_coi_nat",0.157879391451583,0.0898669377443767,0.304116635543117,0.273603573990314,0.0359340990116766,-0.14177515496222,-0.380713569874963,0.300606096717657,0.215099204821843,-0.222327412209369,0.00934483577408184,-0.0524523652203549,0.151272047019691,0.16027884093032,0.250105908271504,-0.288531931012582,0.297823837570729,-0.263600152872919,0.288447936514431,-0.0930359747691796,1.76362546193902,0.796704968751321,3.07218164170284,2.37399750705413,0.340550016890835
"meim_p_ss_exp",0.163148034664378,-0.0015752918936326,0.107884879876867,-0.302082152580264,-0.47080112501048,0.198655883635841,-0.00509350364206893,-0.0798391892034755,0.113555579205838,-0.266984364152066,-0.0354617435240702,-0.132408502724095,0.606059626733245,0.233638036762473,-0.0938223762667613,0.0388333152851698,-0.134598729701874,0.22150873292341,0.0213687693247425,0.0126121940632588,1.83713806366033,-0.028318448148576,1.02534072204917,-2.73457041563647,-3.55668651227731
"meim_p_ss_com",-0.00326558628223089,-0.31375312187209,-0.23272016511572,-0.377628909650001,0.103434309883697,-0.301510097820907,-0.11358099167089,-0.289871021341458,0.264855809083797,0.0715690870804137,-0.123574827039875,-0.128874945953898,-0.000638362239924862,0.0714692215773823,0.176822474083483,-0.519741565460338,-0.179590586622185,-0.160661848702449,-0.167513182919106,-0.08044601880055,-0.0393645200839605,-2.99954950162175,-2.04332030577387,-3.0436957979569,1.05291328296005
"reshist_addr1_nanda_disadv_fac",-0.152271663663179,-0.35671283259795,-0.201506973037199,-0.22991622084231,0.00491099712657994,0.041347311521024,-0.0627640355727411,0.446137063720992,-0.20101575144122,-0.223509541751463,0.302476290816573,-0.0184391007115051,0.01966066222301,-0.0182219245403385,0.238344914080964,0.00541718972706781,0.380464123550867,0.22921937398593,-0.335907358852971,-0.0388746923662544,-1.85507225292875,-3.51518147865683,-2.07207236562403,-2.16566590073852,0.034948876530121
